지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,지원엠엠시네마 동대문지점,127.007358177138,37.5668021171335
서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563.0,CGV 동대문,127.007666479829,37.568734553218
서울특별시 중구 정동 22 경향신문사,"서울특별시 중구 정동길 3, 경향신문사 2층 (정동)",4518.0,서울아트시네마,126.969976113229,37.5681732680976
서울특별시 중구 봉래동2가 122번지 서울역,"서울특별시 중구 청파로 426 (봉래동2가,서울역)",,KTX시네마,126.969512319976,37.5574468761736
서울특별시 중구 충무로2가 65-9번지,서울특별시 중구 퇴계로 123  (충무로2가),,인사이드시네마,126.985364301804,37.5612658980395
서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),,CGV 명동역 씨네라이브러리,126.985364301804,37.5612658980395
서울특별시 중구 충무로4가 131-6번지,서울특별시 중구 퇴계로 211-5  (충무로4가),,극동극장,126.995026731814,37.561929293405
서울특별시 중랑구 묵동 234-1,서울특별시 중랑구 동일로 951 (묵동),2002.0,롯데시네마 중랑점,127.076057076024,37.6151499459916
서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120.0,메가박스중앙 상봉지점,127.0747508051,37.5930806702101
서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150.0,CGV 상봉점,127.092177640813,37.5974066200134
