정류장명,위도,경도
남정초등학교,37.53631875,126.9636632
원효로2가,37.53623744,126.9629911
원효로2가사거리,37.53493384,126.9610704
원효로3가,37.53404076,126.9581798
원효로3가,37.53379572,126.9583248
용암초등학교입구.이태원주공아파트,37.544109,126.988666
이태원동남산대림아파트.용산동아파트,37.539873,126.987478
용산한신아파트,37.53980547,126.9871086
해방촌,37.537816,126.986605
국군재정관리단,37.537318,126.986848
용산구청,37.53028395,126.9912039
용산구청,37.529405,126.99116
한강중학교,37.52545,126.992155
한강중학교앞,37.52450259,126.9924288
서빙고역1번출구,37.520046,126.989955
장충단로입구,37.545795,127.002202
남산예술원,37.544437,127.00204
서울중부기술교육원.블루스퀘어,37.54157768,127.0035398
서울시중부기술교육원.블루스퀘어,37.5411749,127.0031776
순천향대학병원,37.53644224,127.0057302
순천향대학병원,37.5356114,127.0062994
순천향대학병원,37.53579346,127.0054994
순천향대학병원.한남오거리,37.53549068,127.005729
한남5거리,37.53286563,127.0083381
남산도서관.용산도서관,37.552282,126.980835
남산도서관.용산도서관,37.55204425,126.981134
후암약수터,37.54869,126.98432
후암약수터,37.54839526,126.9841669
보성여중고입구,37.54639685,126.98584
보성여중고입구,37.54625985,126.9856318
남산체육관,37.54270388,126.9927902
남산체육관,37.54250475,126.992917
